"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15024","Check artist creates if data length is valid Case: [min]","","Mon May 11 05:42:39 UTC 2026","passed","Mon May 11 05:42:54 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldCreateArtistWithValidLengthDataTest"
"","7","Can get country by code","","Mon May 11 05:41:26 UTC 2026","passed","Mon May 11 05:41:26 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.CountryDbTest","canGetCountryByCodeTest"
"","5486","Check errors displayed if password has invalid pattern Case: [password not contains special symbols]","","Mon May 11 05:46:47 UTC 2026","passed","Mon May 11 05:46:53 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfPasswordHasInvalidPatternTest"
"","16493","Check errors visible on update museum form if fields have invalid data length Case: [1]","","Mon May 11 05:43:05 UTC 2026","passed","Mon May 11 05:43:21 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldVisibleErrorsOnMuseumUpdateFormIfMuseumFieldsHaveInvalidDataLengthTest"
"","31","Returns Optional.empty() if search country by unknown id","","Mon May 11 05:41:33 UTC 2026","passed","Mon May 11 05:41:33 UTC 2026","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","canGetEmptyCountryByUnknownIdTest"
"","8489","Check errors visible on update artist form if fields have greater than max characters length Case: [min - 1]","","Mon May 11 05:42:20 UTC 2026","passed","Mon May 11 05:42:29 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldVisibleErrorsOnArtistUpdateFormIfArtistFieldsHaveGreaterThanMaxLengthTest"
"","4267","Should login by correct credentials","","Mon May 11 05:42:58 UTC 2026","passed","Mon May 11 05:43:02 UTC 2026","","[WEB] Login tests","org.rococo.tests.tests.web.LoginWebTest","shouldLoginWithCorrectCredentialsTest"
"","209","Can delete user","","Mon May 11 05:41:31 UTC 2026","passed","Mon May 11 05:41:31 UTC 2026","","[DB] Users tests","org.rococo.tests.tests.fake.db.UserDbTest","canDeleteUserTest"
"","645","Can not create painting with exists name","","Mon May 11 05:41:22 UTC 2026","passed","Mon May 11 05:41:22 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotCreatePaintingWithExistsNameTest"
"","422","Can create artist","","Mon May 11 05:41:14 UTC 2026","passed","Mon May 11 05:41:14 UTC 2026","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canCreateArtistTest"
"","258","Can not update museum name to exist","","Mon May 11 05:41:34 UTC 2026","passed","Mon May 11 05:41:34 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canNotUpdateMuseumTitleToExistTest"
