"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Can get museum by id","","Mon Mar 23 04:14:57 UTC 2026","passed","Mon Mar 23 04:14:57 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canGetMuseumByIdTest"
"","5","Returns Optional.empty() if search country by unknown country code","","Mon Mar 23 04:14:50 UTC 2026","passed","Mon Mar 23 04:14:50 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.CountryDbTest","canGetEmptyCountryByUnknownCountryCodeTest"
"","1108","Can not update painting name to exist","","Mon Mar 23 04:14:45 UTC 2026","passed","Mon Mar 23 04:14:46 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotUpdatePaintingNameToExistTest"
"","460","Can get painting by title","","Mon Mar 23 04:15:01 UTC 2026","passed","Mon Mar 23 04:15:01 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetPaintingByTitle"
"","73","Can get country by code","","Mon Mar 23 04:14:56 UTC 2026","passed","Mon Mar 23 04:14:56 UTC 2026","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","canGetCountryByCodeTest"
"","205","Can create artist","","Mon Mar 23 04:14:55 UTC 2026","passed","Mon Mar 23 04:14:55 UTC 2026","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canCreateArtistTest"
"","306","Can not create museum if country not found","","Mon Mar 23 04:14:40 UTC 2026","passed","Mon Mar 23 04:14:40 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canNotCreateMuseumIfCountryNotExistsTest"
"","559","Can not create painting with unknown museum","","Mon Mar 23 04:14:53 UTC 2026","passed","Mon Mar 23 04:14:53 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canNotUpdatePaintingWithUnknownMuseumTest"
"","378","Can get painting by title","","Mon Mar 23 04:14:52 UTC 2026","passed","Mon Mar 23 04:14:53 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetPaintingByTitleTest"
"","420","Can not create museum with exists name","","Mon Mar 23 04:14:40 UTC 2026","passed","Mon Mar 23 04:14:41 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canNotCreateMuseumWithExistsNameTest"
"","14","Can get country by code","","Mon Mar 23 04:14:50 UTC 2026","passed","Mon Mar 23 04:14:50 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.CountryDbTest","canGetCountryByCodeTest"
"","531","Can not update museum name to exist","","Mon Mar 23 04:14:57 UTC 2026","passed","Mon Mar 23 04:14:57 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canNotUpdateMuseumTitleToExistTest"
"","438","Can login user with valid data","","Mon Mar 23 04:14:39 UTC 2026","passed","Mon Mar 23 04:14:39 UTC 2026","","[API] Login tests","org.rococo.tests.tests.api.LoginApiTests","canLoginUserWithValidDataTest"
"","182","Should returns BAD_REQUEST if password and confirmPassword mismatch","","Mon Mar 23 04:14:47 UTC 2026","passed","Mon Mar 23 04:14:47 UTC 2026","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfPasswordAndConfirmPasswordMismatchTest"
"","78","Returns Optional.empty() if search user by unknown id","","Mon Mar 23 04:14:49 UTC 2026","passed","Mon Mar 23 04:14:49 UTC 2026","","[API] Users tests","org.rococo.tests.tests.api.UserApiTest","canGetEmptyUserByUnknownIdTest"
"","604","Can create artist","","Mon Mar 23 04:14:37 UTC 2026","passed","Mon Mar 23 04:14:38 UTC 2026","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canCreateArtistTest"
"","169","Should throw CountryNotFoundException if update museum with unknown country","","Mon Mar 23 04:14:57 UTC 2026","passed","Mon Mar 23 04:14:57 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","shouldThrowCountryNotFoundExceptionIfCreateMuseumWithUnknownCountryTest"
"","290","Can get painting by id","","Mon Mar 23 04:14:51 UTC 2026","passed","Mon Mar 23 04:14:51 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetPaintingByIdTest"
"","113","Should returns BAD_REQUEST if register with invalid length password Case: password length = 4","","Mon Mar 23 04:14:47 UTC 2026","passed","Mon Mar 23 04:14:47 UTC 2026","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfPasswordLengthInvalidTest"
"","60","Returns Optional.empty() if search museum by unknown title","","Mon Mar 23 04:14:56 UTC 2026","passed","Mon Mar 23 04:14:56 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canGetEmptyMuseumByUnknownTitleTest"
"","1936","Can get all paintings","","Mon Mar 23 04:14:58 UTC 2026","passed","Mon Mar 23 04:15:00 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetAllPaintingsTest"
"","550","Can not create painting with unknown museum","","Mon Mar 23 04:14:43 UTC 2026","passed","Mon Mar 23 04:14:43 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotCreatePaintingWithUnknownMuseumTest"
"","5","Returns Optional.empty() if search user by unknown username","","Mon Mar 23 04:14:53 UTC 2026","passed","Mon Mar 23 04:14:53 UTC 2026","","[DB] Users tests","org.rococo.tests.tests.fake.db.UserDbTest","canGetEmptyUserByUnknownUsernameTest"
"","436","Can get museum by id","","Mon Mar 23 04:14:40 UTC 2026","passed","Mon Mar 23 04:14:41 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canGetMuseumByIdTest"
"","53","Returns Optional.empty() if search user by unknown username","","Mon Mar 23 04:15:02 UTC 2026","passed","Mon Mar 23 04:15:02 UTC 2026","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canGetEmptyUserByUnknownUsernameTest"
"","538","Can delete museum","","Mon Mar 23 04:14:57 UTC 2026","passed","Mon Mar 23 04:14:58 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canDeleteMuseumTest"
"","10","Returns Optional.empty() if search museum by unknown title","","Mon Mar 23 04:14:50 UTC 2026","passed","Mon Mar 23 04:14:50 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canGetEmptyMuseumByUnknownTitleTest"
"","326","Should throw CountryNotFoundException if update museum with unknown country","","Mon Mar 23 04:14:56 UTC 2026","passed","Mon Mar 23 04:14:57 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","shouldThrowCountryNotFoundExceptionIfUpdateMuseumWithUnknownCountryTest"
