"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","765","Can not update painting name to exist","","Mon May 04 05:06:51 UTC 2026","passed","Mon May 04 05:06:52 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canNotUpdatePaintingNameToExistTest"
"","7827","Check museums found by filtered search","","Mon May 04 05:09:11 UTC 2026","passed","Mon May 04 05:09:19 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldFindMuseumsWithFilterTest"
"","113","Returns Optional.empty() if search painting by unknown id","","Mon May 04 05:06:35 UTC 2026","passed","Mon May 04 05:06:35 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canGetEmptyPaintingByUnknownIdTest"
"","363","Can not update museum name to exist","","Mon May 04 05:06:46 UTC 2026","passed","Mon May 04 05:06:47 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canNotUpdateMuseumTitleToExistTest"
"","29143","Check errors visible on add new museum form if fields have greater than max characters length Case: [min - 1]","","Mon May 04 05:09:25 UTC 2026","passed","Mon May 04 05:09:54 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldDisplayErrorsOnAddAristFormIfMuseumFieldsHaveGreaterThanMaxLengthTest"
"","6163","Should register if user credentials is valid","","Mon May 04 05:12:32 UTC 2026","passed","Mon May 04 05:12:38 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldRegisterUserWithCorrectCredentialsTest"
"","672","Can not update painting name to exist","","Mon May 04 05:06:42 UTC 2026","passed","Mon May 04 05:06:43 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canNotUpdatePaintingNameToExistTest"
"","10976","Should add new painting with correct data","","Mon May 04 05:10:57 UTC 2026","broken","Mon May 04 05:11:08 UTC 2026","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldAddPaintingWithCorrectDataTest"
"","524","Can update museum","","Mon May 04 05:06:30 UTC 2026","passed","Mon May 04 05:06:31 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canUpdateMuseumTest"
"","562","Can create painting","","Mon May 04 05:06:42 UTC 2026","passed","Mon May 04 05:06:43 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canCreatePaintingTest"
"","1149","Can get all artist","","Mon May 04 05:06:45 UTC 2026","passed","Mon May 04 05:06:46 UTC 2026","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canGetAllArtistsTest"
"","5637","Should login by correct credentials","","Mon May 04 05:08:13 UTC 2026","passed","Mon May 04 05:08:19 UTC 2026","","[WEB] Login tests","org.rococo.tests.tests.web.LoginWebTest","shouldLoginWithCorrectCredentialsTest"
"","5","Returns Optional.empty() if search painting by unknown id","","Mon May 04 05:06:42 UTC 2026","passed","Mon May 04 05:06:42 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetEmptyPaintingByUnknownIdTest"
"","6944","Check error displayed on update artist form when uploading image with invalid format","","Mon May 04 05:06:53 UTC 2026","passed","Mon May 04 05:07:00 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayErrorOnUpdateArtistFormWhenUploadingInvalidImageFormat"
"","755","Can not create artist with exists name","","Mon May 04 05:06:44 UTC 2026","passed","Mon May 04 05:06:45 UTC 2026","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canNotCreateArtistWithExistsNameTest"
"","3809","Can not create artist with exists name","","Mon May 04 05:06:24 UTC 2026","passed","Mon May 04 05:06:27 UTC 2026","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canNotCreateArtistWithExistsNameTest"
"","174","Can get artist by id","","Mon May 04 05:06:39 UTC 2026","passed","Mon May 04 05:06:40 UTC 2026","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canGetArtistByIdTest"
"","1","Check displayed default empty list if museum not exists","","Mon May 04 05:08:22 UTC 2026","broken","Mon May 04 05:08:22 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldDisplayEmptyListWhenMuseumsNotExistsTest"
"","13304","Check errors visible on update painting form if fields have greater than max characters length Case: [max + 10]","","Mon May 04 05:10:49 UTC 2026","failed","Mon May 04 05:11:03 UTC 2026","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldVisibleErrorsOnPaintingUpdateFormIfPaintingFieldsHaveGreaterThanMaxLengthTest"
"","18061","Check errors visible on update museum form if fields have invalid data length Case: [max + 10]","","Mon May 04 05:09:50 UTC 2026","passed","Mon May 04 05:10:08 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldVisibleErrorsOnMuseumUpdateFormIfMuseumFieldsHaveInvalidDataLengthTest"
"","511","Can get all countries","","Mon May 04 05:06:29 UTC 2026","passed","Mon May 04 05:06:29 UTC 2026","","[API] Countries tests","org.rococo.tests.tests.api.CountryApiTest","canGetAllCountriesTest"
"","19270","Check error displayed on update museum form when uploading image with invalid format","","Mon May 04 05:08:51 UTC 2026","passed","Mon May 04 05:09:10 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldDisplayErrorOnUpdateMuseumFormWhenUploadingInvalidImageFormat"
"","154","Should throw CountryNotFoundException if create museum with unknown country","","Mon May 04 05:06:31 UTC 2026","passed","Mon May 04 05:06:31 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","shouldThrowCountryNotFoundExceptionIfCreateMuseumWithUnknownCountryTest"
"","4804","Check errors displayed if username has invalid pattern Case: [username contains multiple specials in a row]","","Mon May 04 05:12:20 UTC 2026","passed","Mon May 04 05:12:25 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfUsernameHasInvalidPatternTest"
"","20","Returns Optional.empty() if search painting by unknown title","","Mon May 04 05:06:50 UTC 2026","passed","Mon May 04 05:06:50 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetEmptyPaintingByUnknownTitleTest"
"","410","Can get all museum","","Mon May 04 05:06:40 UTC 2026","passed","Mon May 04 05:06:41 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canGetAllMuseumsTest"
"","456","Can not update painting with unknown museum","","Mon May 04 05:06:51 UTC 2026","passed","Mon May 04 05:06:52 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canNotUpdatePaintingWithUnknownMuseumTest"
"","9","Returns Optional.empty() if search museum by unknown id","","Mon May 04 05:06:40 UTC 2026","passed","Mon May 04 05:06:40 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canGetEmptyMuseumByUnknownIdTest"
"","22","Returns Optional.empty() if search museum by unknown id","","Mon May 04 05:06:46 UTC 2026","passed","Mon May 04 05:06:46 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canGetEmptyMuseumByUnknownIdTest"
