01:59:02.952 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
02:00:42.669 [grpc-default-executor-0] INFO  o.r.files.service.ImageGrpcService - Find all images by params: entityType = [ARTIST], entityIds = [c9be8a8c-1c0b-11f1-a635-c61bf0bf16db, c9c066cc-1c0b-11f1-9242-c61bf0bf16db, cc5d1498-1c0b-11f1-a635-c61bf0bf16db, 5f3e6202-0236-4a7f-a31e-16128638deae, cc44449a-1c0b-11f1-9242-c61bf0bf16db, cbfd01ca-1c0b-11f1-a635-c61bf0bf16db, cbfe5728-1c0b-11f1-9242-c61bf0bf16db, cc62de6e-1c0b-11f1-9242-c61bf0bf16db, cc2e25fc-1c0b-11f1-a635-c61bf0bf16db], isOriginalPhoto = false

02:00:42.817 [grpc-default-executor-0] INFO  o.r.files.service.ImageGrpcService - Find image by entityType = [ARTIST] and entityId = [cc832750-1c0b-11f1-a635-c61bf0bf16db]

02:00:42.864 [grpc-default-executor-0] INFO  o.r.files.service.ImageGrpcService - Find all images by params: entityType = [ARTIST], entityIds = [], isOriginalPhoto = false

02:00:42.883 [grpc-default-executor-1] INFO  o.r.files.service.ImageGrpcService - Find image by entityType = [ARTIST] and entityId = [cc832750-1c0b-11f1-a635-c61bf0bf16db]

02:00:45.111 [grpc-default-executor-1] INFO  o.r.files.service.ImageGrpcService - Find all images by params: entityType = [MUSEUM], entityIds = [cd8ddd48-1c0b-11f1-a0ba-c61bf0bf16db], isOriginalPhoto = false

02:00:45.313 [grpc-default-executor-1] INFO  o.r.files.service.ImageGrpcService - Find image by entityType = [MUSEUM] and entityId = [cdbd6de2-1c0b-11f1-a0ba-c61bf0bf16db]

02:00:45.354 [grpc-default-executor-1] INFO  o.r.files.service.ImageGrpcService - Update image by entityType = [MUSEUM] and entityId = [cdbd6de2-1c0b-11f1-a0ba-c61bf0bf16db]

02:00:46.042 [grpc-default-executor-1] INFO  o.r.files.service.ImageGrpcService - Find image by entityType = [MUSEUM] and entityId = [ce67233c-1c0b-11f1-a0ba-c61bf0bf16db]

02:00:46.282 [grpc-default-executor-1] INFO  o.r.files.service.ImageGrpcService - Find all images by params: entityType = [MUSEUM], entityIds = [ce67233c-1c0b-11f1-a0ba-c61bf0bf16db, ce78a080-1c0b-11f1-8d5b-c61bf0bf16db, cdf6ecc0-1c0b-11f1-a0ba-c61bf0bf16db, cd8ddd48-1c0b-11f1-a0ba-c61bf0bf16db, cdbd6de2-1c0b-11f1-a0ba-c61bf0bf16db], isOriginalPhoto = false

02:00:46.436 [grpc-default-executor-1] INFO  o.r.files.service.ImageGrpcService - Find image by entityType = [MUSEUM] and entityId = [cea5e612-1c0b-11f1-a0ba-c61bf0bf16db]

02:00:46.489 [grpc-default-executor-1] INFO  o.r.files.service.ImageGrpcService - Find image by entityType = [MUSEUM] and entityId = [cea5e612-1c0b-11f1-a0ba-c61bf0bf16db]

02:00:46.576 [grpc-default-executor-1] INFO  o.r.files.service.ImageGrpcService - Add new image: entityType = [MUSEUM], entityId = [de1c9c5c-b251-4f96-9731-462d2157b547]

02:00:47.308 [grpc-default-executor-1] INFO  o.r.files.service.ImageGrpcService - Find all images by params: entityType = [MUSEUM], entityIds = [ce67233c-1c0b-11f1-a0ba-c61bf0bf16db, ce78a080-1c0b-11f1-8d5b-c61bf0bf16db, cdf6ecc0-1c0b-11f1-a0ba-c61bf0bf16db, cef25204-1c0b-11f1-a0ba-c61bf0bf16db, cf17b80a-1c0b-11f1-8d5b-c61bf0bf16db, cf0f6e98-1c0b-11f1-a0ba-c61bf0bf16db, cf02bed2-1c0b-11f1-8d5b-c61bf0bf16db, cd8ddd48-1c0b-11f1-a0ba-c61bf0bf16db, cf31cd94-1c0b-11f1-a0ba-c61bf0bf16db, de1c9c5c-b251-4f96-9731-462d2157b547], isOriginalPhoto = false

