"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","148","Can get museum by title","","Mon May 25 06:05:06 UTC 2026","passed","Mon May 25 06:05:07 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canGetMuseumByTitle"
"","42","Can get country by code","","Mon May 25 06:05:12 UTC 2026","passed","Mon May 25 06:05:12 UTC 2026","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","canGetCountryByCodeTest"
"","352","Can not create artist with exists name","","Mon May 25 06:05:05 UTC 2026","passed","Mon May 25 06:05:06 UTC 2026","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canNotCreateArtistWithExistsNameTest"
"","868","Can get artist by name","","Mon May 25 06:05:10 UTC 2026","passed","Mon May 25 06:05:11 UTC 2026","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canGetArtistByName"
"","1861","Can get all paintings","","Mon May 25 06:05:14 UTC 2026","passed","Mon May 25 06:05:16 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetAllPaintingsTest"
"","3807","Check displayed error if register by exists username","","Mon May 25 06:10:00 UTC 2026","passed","Mon May 25 06:10:04 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldNotRegisterIfUsernameExistsTest"
"","972","Returns Optional.empty() if search museum by unknown title","","Mon May 25 06:04:57 UTC 2026","passed","Mon May 25 06:04:58 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canGetEmptyMuseumByUnknownTitleTest"
"","830","Can not create artist with exists name","","Mon May 25 06:05:10 UTC 2026","passed","Mon May 25 06:05:11 UTC 2026","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canNotCreateArtistWithExistsNameTest"
"","578","Can get all museum","","Mon May 25 06:04:58 UTC 2026","passed","Mon May 25 06:04:59 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canGetAllMuseumsTest"
"","61","Returns Optional.empty() if search user by unknown username","","Mon May 25 06:05:17 UTC 2026","passed","Mon May 25 06:05:17 UTC 2026","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canGetEmptyUserByUnknownUsernameTest"
