"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Returns Optional.empty() if search painting by unknown id","","Fri May 22 00:49:41 UTC 2026","passed","Fri May 22 00:49:41 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetEmptyPaintingByUnknownIdTest"
"","84","Returns Optional.empty() if search painting by unknown title","","Fri May 22 00:49:49 UTC 2026","passed","Fri May 22 00:49:49 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetEmptyPaintingByUnknownTitleTest"
"","487","Can not create painting with unknown museum","","Fri May 22 00:49:42 UTC 2026","passed","Fri May 22 00:49:42 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canNotUpdatePaintingWithUnknownMuseumTest"
"","3156","Should not register if password and confirmation password not equals","","Fri May 22 00:55:08 UTC 2026","passed","Fri May 22 00:55:12 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldNotRegisterIfPasswordAndConfirmationPasswordNotEqualsTest"
"","237","Can get user by username","","Fri May 22 00:49:51 UTC 2026","passed","Fri May 22 00:49:51 UTC 2026","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canGetUserByUsername"
"","530","Should returns BAD_REQUEST if register with exists username","","Fri May 22 00:49:35 UTC 2026","passed","Fri May 22 00:49:36 UTC 2026","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfRegisterWithExistsUsernameTest"
"","685","Can not update museum if country not found","","Fri May 22 00:49:28 UTC 2026","passed","Fri May 22 00:49:29 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canNotUpdateMuseumIfCountryNotExistsTest"
"","7496","Check errors visible on update museum form if fields have invalid data length Case: [min - 1]","","Fri May 22 00:51:40 UTC 2026","passed","Fri May 22 00:51:47 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldVisibleErrorsOnMuseumUpdateFormIfMuseumFieldsHaveInvalidDataLengthTest"
"","356","Can not create painting with exists name","","Fri May 22 00:49:41 UTC 2026","passed","Fri May 22 00:49:41 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canNotCreatePaintingWithExistsNameTest"
"","7609","Check update museum button not exists without authorization","","Fri May 22 00:53:06 UTC 2026","passed","Fri May 22 00:53:13 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldNotAvailableUpdateMuseumWithoutAuthorizationTest"
"","5804","Should register if user credentials is valid","","Fri May 22 00:55:18 UTC 2026","passed","Fri May 22 00:55:24 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldRegisterUserWithCorrectCredentialsTest"
"","328","Can delete artist","","Fri May 22 00:49:45 UTC 2026","passed","Fri May 22 00:49:45 UTC 2026","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canDeleteArtistTest"
