"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Returns Optional.empty() if search painting by unknown title","","Tue Mar 10 00:19:51 UTC 2026","passed","Tue Mar 10 00:19:51 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetEmptyPaintingByUnknownTitleTest"
"","9501","Check museums found by filtered search","","Tue Mar 10 00:22:01 UTC 2026","passed","Tue Mar 10 00:22:11 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldFindMuseumsWithFilterTest"
"","10471","Check errors visible on add new artist form if fields image has invalid format","","Tue Mar 10 00:20:09 UTC 2026","passed","Tue Mar 10 00:20:19 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayErrorOnAddArtistFormWhenUploadingInvalidImageFormat"
"","9","Can get country by id","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.CountryDbTest","canGetCountryByIdTest"
"","13391","Check errors visible on update painting form if fields have greater than max characters length Case: [min - 1]","","Tue Mar 10 00:24:10 UTC 2026","failed","Tue Mar 10 00:24:24 UTC 2026","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldVisibleErrorsOnPaintingUpdateFormIfPaintingFieldsHaveGreaterThanMaxLengthTest"
"","1798","Can get all artist paintings","","Tue Mar 10 00:19:42 UTC 2026","passed","Tue Mar 10 00:19:44 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetAllArtistPaintingsTest"
"","7297","Check displayed empty filtered list container if painting not founded by query","","Tue Mar 10 00:25:22 UTC 2026","passed","Tue Mar 10 00:25:29 UTC 2026","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldDisplayPaintingAfterFilteringByNameTest"
"","406","Can not create painting with unknown artist","","Tue Mar 10 00:19:42 UTC 2026","passed","Tue Mar 10 00:19:42 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canNotCreatePaintingWithUnknownArtistTest"
"","5388","Check errors displayed if username has invalid pattern Case: [username contains multiple specials in a row]","","Tue Mar 10 00:25:52 UTC 2026","passed","Tue Mar 10 00:25:57 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfUsernameHasInvalidPatternTest"
"","262","Should returns BAD_REQUEST if password and confirmPassword mismatch","","Tue Mar 10 00:19:38 UTC 2026","passed","Tue Mar 10 00:19:38 UTC 2026","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfPasswordAndConfirmPasswordMismatchTest"
"","14580","Check artist creates if data length is valid Case: [max]","","Tue Mar 10 00:20:44 UTC 2026","passed","Tue Mar 10 00:20:58 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldCreateArtistWithValidLengthDataTest"
"","356","Can update user","","Tue Mar 10 00:19:53 UTC 2026","passed","Tue Mar 10 00:19:53 UTC 2026","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canUpdateUserTest"
"","42","Should throw CountryNotFoundException if create museum with unknown country","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","shouldThrowCountryNotFoundExceptionIfCreateMuseumWithUnknownCountryTest"
"","595","Can not create painting with unknown artist","","Tue Mar 10 00:19:35 UTC 2026","passed","Tue Mar 10 00:19:36 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotCreatePaintingWithUnknownArtistTest"
"","725","Can create painting","","Tue Mar 10 00:19:36 UTC 2026","passed","Tue Mar 10 00:19:37 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canCreatePaintingTest"
"","1997","Can update painting","","Tue Mar 10 00:19:33 UTC 2026","failed","Tue Mar 10 00:19:35 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canUpdatePaintingTest"
"","136","Can get artist by id","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canGetArtistByIdTest"
"","3","Returns Optional.empty() if search country by unknown country code","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.CountryDbTest","canGetEmptyCountryByUnknownCountryCodeTest"
"","13321","Check artist updates if data length is valid Case: [min]","","Tue Mar 10 00:19:54 UTC 2026","passed","Tue Mar 10 00:20:07 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldUpdateArtistWithValidLengthDataTest"
"","215","Should returns BAD_REQUEST if register with invalid length username Case: username length = 5","","Tue Mar 10 00:19:38 UTC 2026","passed","Tue Mar 10 00:19:38 UTC 2026","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfUsernameLengthInvalidTest"
"","5508","Check errors displayed if username has invalid pattern Case: [username contains invalid special]","","Tue Mar 10 00:25:57 UTC 2026","passed","Tue Mar 10 00:26:03 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfUsernameHasInvalidPatternTest"
"","10","Throws exception if CountryCode = EMPTY","","Tue Mar 10 00:19:47 UTC 2026","passed","Tue Mar 10 00:19:47 UTC 2026","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","shouldThrowExceptionIfCountryCodeIsEmptyTest"
"","598","Can delete painting","","Tue Mar 10 00:19:35 UTC 2026","passed","Tue Mar 10 00:19:36 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canDeletePaintingTest"
"","7","Returns Optional.empty() if search artist by unknown id","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canGetEmptyArtistByUnknownIdTest"
"","614","Can create painting","","Tue Mar 10 00:19:51 UTC 2026","passed","Tue Mar 10 00:19:52 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canCreatePaintingTest"
"","442","Can not update artist name to exist","","Tue Mar 10 00:19:46 UTC 2026","passed","Tue Mar 10 00:19:47 UTC 2026","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canNotUpdateArtistNameToExistTest"
"","533","Should returns BAD_REQUEST if register with exists username","","Tue Mar 10 00:19:38 UTC 2026","passed","Tue Mar 10 00:19:38 UTC 2026","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfRegisterWithExistsUsernameTest"
"","7563","Check errors visible on add new artist form if fields have greater than max characters length Case: [1]","","Tue Mar 10 00:20:57 UTC 2026","passed","Tue Mar 10 00:21:04 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayErrorsOnAddAristFormIfArtistFieldsHaveGreaterThanMaxLengthTest"
"","357","Can not create museum with exists name","","Tue Mar 10 00:19:32 UTC 2026","passed","Tue Mar 10 00:19:32 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canNotCreateMuseumWithExistsNameTest"
"","547","Can get all users","","Tue Mar 10 00:19:39 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[API] Users tests","org.rococo.tests.tests.api.UserApiTest","canGetAllUsersTest"
"","225","Can delete museum","","Tue Mar 10 00:19:41 UTC 2026","passed","Tue Mar 10 00:19:41 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canDeleteMuseumTest"
"","297","Can get museum by id","","Tue Mar 10 00:19:32 UTC 2026","passed","Tue Mar 10 00:19:32 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canGetMuseumByIdTest"
"","733","Can get all museums","","Tue Mar 10 00:19:48 UTC 2026","passed","Tue Mar 10 00:19:49 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canGetAllMuseumsTest"
"","17832","Check error displayed on update painting form when uploading image with invalid format","","Tue Mar 10 00:25:29 UTC 2026","passed","Tue Mar 10 00:25:47 UTC 2026","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldDisplayErrorOnUpdatePaintingFormWhenUploadingInvalidImageFormat"
"","1","Check displayed default empty list if painting not exists","","Tue Mar 10 00:23:33 UTC 2026","broken","Tue Mar 10 00:23:33 UTC 2026","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldDisplayEmptyListWhenPaintingsNotExistsTest"
"","15819","Should add new painting with correct data","","Tue Mar 10 00:23:37 UTC 2026","failed","Tue Mar 10 00:23:53 UTC 2026","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldAddPaintingWithCorrectDataTest"
"","371","Can not update museum name to exist","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:41 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canNotUpdateMuseumNameToExistTest"
"","1135","Can not update museum if country not found","","Tue Mar 10 00:19:31 UTC 2026","passed","Tue Mar 10 00:19:32 UTC 2026","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canNotUpdateMuseumIfCountryNotExistsTest"
"","7566","Check errors visible on add new artist form if fields have greater than max characters length Case: [min - 1]","","Tue Mar 10 00:20:58 UTC 2026","passed","Tue Mar 10 00:21:06 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayErrorsOnAddAristFormIfArtistFieldsHaveGreaterThanMaxLengthTest"
"","34714","Check errors visible on add new museum form if fields have greater than max characters length Case: [min - 1]","","Tue Mar 10 00:22:24 UTC 2026","broken","Tue Mar 10 00:22:59 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldDisplayErrorsOnAddAristFormIfMuseumFieldsHaveGreaterThanMaxLengthTest"
"","818","Can create artist","","Tue Mar 10 00:19:27 UTC 2026","passed","Tue Mar 10 00:19:28 UTC 2026","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canCreateArtistTest"
"","409","Can not create painting with exists name","","Tue Mar 10 00:19:51 UTC 2026","passed","Tue Mar 10 00:19:51 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canNotCreatePaintingWithExistsNameTest"
"","4619","Check errors displayed if registration data has invalid length Case: [1]","","Tue Mar 10 00:26:09 UTC 2026","passed","Tue Mar 10 00:26:13 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfRegistrationDataLengthIsInvalidTest"
"","12245","Check painting creates if data length is valid Case: [min]","","Tue Mar 10 00:25:10 UTC 2026","failed","Tue Mar 10 00:25:22 UTC 2026","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldCreatePaintingWithValidLengthDataTest"
"","941","Can not update painting name to exist","","Tue Mar 10 00:19:36 UTC 2026","passed","Tue Mar 10 00:19:37 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotUpdatePaintingNameToExistTest"
"","576","Can not update painting with unknown museum","","Tue Mar 10 00:19:52 UTC 2026","passed","Tue Mar 10 00:19:53 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canNotUpdatePaintingWithUnknownMuseumTest"
"","10918","Check errors visible on update artist form if fields have greater than max characters length Case: [min - 1]","","Tue Mar 10 00:20:35 UTC 2026","passed","Tue Mar 10 00:20:46 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldVisibleErrorsOnArtistUpdateFormIfArtistFieldsHaveGreaterThanMaxLengthTest"
"","131","Should throw CountryNotFoundException if update museum with unknown country","","Tue Mar 10 00:19:48 UTC 2026","passed","Tue Mar 10 00:19:48 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","shouldThrowCountryNotFoundExceptionIfCreateMuseumWithUnknownCountryTest"
"","49","Can get country by id","","Tue Mar 10 00:19:47 UTC 2026","passed","Tue Mar 10 00:19:47 UTC 2026","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","canGetCountryByIdTest"
"","339","Can not create user with exists username","","Tue Mar 10 00:19:45 UTC 2026","passed","Tue Mar 10 00:19:45 UTC 2026","","[DB] Users tests","org.rococo.tests.tests.fake.db.UserDbTest","canNotCreateUserWithExistsUsernameTest"
"","151","Should returns BAD_REQUEST if register with weak password","","Tue Mar 10 00:19:38 UTC 2026","passed","Tue Mar 10 00:19:38 UTC 2026","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfPasswordIsWeakTest"
"","4267","Should not register if password and confirmation password not equals","","Tue Mar 10 00:25:47 UTC 2026","passed","Tue Mar 10 00:25:52 UTC 2026","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldNotRegisterIfPasswordAndConfirmationPasswordNotEqualsTest"
"","179","Can get artist by name","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canGetArtistByName"
"","9225","Check artists found by filtered search","","Tue Mar 10 00:20:45 UTC 2026","passed","Tue Mar 10 00:20:54 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldFindArtistsWithFilterTest"
"","434","Can get user by username","","Tue Mar 10 00:19:53 UTC 2026","passed","Tue Mar 10 00:19:53 UTC 2026","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canGetUserByUsername"
"","582","Can not create painting with unknown museum","","Tue Mar 10 00:19:34 UTC 2026","passed","Tue Mar 10 00:19:35 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotCreatePaintingWithUnknownMuseumTest"
"","261","Can get user by id","","Tue Mar 10 00:19:53 UTC 2026","passed","Tue Mar 10 00:19:53 UTC 2026","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canGetUserByIdTest"
"","17497","Check artist updates if data length is valid Case: [max]","","Tue Mar 10 00:20:07 UTC 2026","passed","Tue Mar 10 00:20:25 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldUpdateArtistWithValidLengthDataTest"
"","1111","Can get painting by id","","Tue Mar 10 00:19:33 UTC 2026","passed","Tue Mar 10 00:19:34 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canGetPaintingByIdTest"
"","5539","Check update museum button not exists without authorization","","Tue Mar 10 00:23:08 UTC 2026","passed","Tue Mar 10 00:23:13 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldNotAvailableUpdateMuseumWithoutAuthorizationTest"
"","116","Should returns BAD_REQUEST if register with invalid length password Case: password length = 4","","Tue Mar 10 00:19:38 UTC 2026","passed","Tue Mar 10 00:19:38 UTC 2026","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfPasswordLengthInvalidTest"
"","761","Can not create artist with exists name","","Tue Mar 10 00:19:45 UTC 2026","passed","Tue Mar 10 00:19:46 UTC 2026","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canNotCreateArtistWithExistsNameTest"
"","1379","Can get all paintings","","Tue Mar 10 00:19:41 UTC 2026","passed","Tue Mar 10 00:19:42 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetAllPaintingsTest"
"","220","Should throw CountryNotFoundException if update museum with unknown country","","Tue Mar 10 00:19:48 UTC 2026","passed","Tue Mar 10 00:19:48 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","shouldThrowCountryNotFoundExceptionIfUpdateMuseumWithUnknownCountryTest"
"","652","Can update artist","","Tue Mar 10 00:19:28 UTC 2026","passed","Tue Mar 10 00:19:29 UTC 2026","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canUpdateArtistTest"
"","405","Can get all artist","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canGetAllArtistsTest"
"","17","Returns Optional.empty() if search country by unknown country code","","Tue Mar 10 00:19:30 UTC 2026","passed","Tue Mar 10 00:19:30 UTC 2026","","[API] Countries tests","org.rococo.tests.tests.api.CountryApiTest","canGetEmptyCountryByUnknownCountryCodeTest"
"","9","Returns Optional.empty() if search museum by unknown id","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canGetEmptyMuseumByUnknownIdTest"
"","10","Can get country by code","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.CountryDbTest","canGetCountryByCodeTest"
"","23231","Check museum updates if data length is valid Case: [min]","","Tue Mar 10 00:22:44 UTC 2026","failed","Tue Mar 10 00:23:08 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldUpdateMuseumWithValidLengthDataTest"
"","558","Can get all user","","Tue Mar 10 00:19:53 UTC 2026","passed","Tue Mar 10 00:19:54 UTC 2026","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canGetAllUsersTest"
"","248","Can not create user with exists username","","Tue Mar 10 00:19:53 UTC 2026","passed","Tue Mar 10 00:19:53 UTC 2026","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canNotCreateUserWithExistsUsernameTest"
"","282","Returns Optional.empty() if search painting by unknown title","","Tue Mar 10 00:19:36 UTC 2026","passed","Tue Mar 10 00:19:36 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canGetEmptyPaintingByUnknownTitleTest"
"","298","Can not create painting with unknown museum","","Tue Mar 10 00:19:44 UTC 2026","passed","Tue Mar 10 00:19:44 UTC 2026","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canNotUpdatePaintingWithUnknownMuseumTest"
"","6188","Check displayed empty filtered list container if museum not founded by query","","Tue Mar 10 00:22:32 UTC 2026","passed","Tue Mar 10 00:22:39 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldDisplayMuseumAfterFilteringByNameTest"
"","229","Can register user with valid data","","Tue Mar 10 00:19:38 UTC 2026","passed","Tue Mar 10 00:19:38 UTC 2026","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","canRegisterUserWithValidDataTest"
"","209","Can create museum","","Tue Mar 10 00:19:48 UTC 2026","passed","Tue Mar 10 00:19:48 UTC 2026","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canCreateMuseumTest"
"","1414","Can get all artist paintings","","Tue Mar 10 00:19:51 UTC 2026","passed","Tue Mar 10 00:19:52 UTC 2026","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetAllArtistPaintingsTest"
"","641","Can get country by id","","Tue Mar 10 00:19:29 UTC 2026","passed","Tue Mar 10 00:19:30 UTC 2026","","[API] Countries tests","org.rococo.tests.tests.api.CountryApiTest","canGetCountryByIdTest"
"","201","Can get museum by title","","Tue Mar 10 00:19:40 UTC 2026","passed","Tue Mar 10 00:19:40 UTC 2026","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canGetMuseumByTitle"
"","209","Can delete user","","Tue Mar 10 00:19:44 UTC 2026","passed","Tue Mar 10 00:19:45 UTC 2026","","[DB] Users tests","org.rococo.tests.tests.fake.db.UserDbTest","canDeleteUserTest"
"","15333","Should add new museum with correct data","","Tue Mar 10 00:23:01 UTC 2026","passed","Tue Mar 10 00:23:16 UTC 2026","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldAddMuseumWithCorrectDataTest"
"","625","Can not update painting with unknown artist","","Tue Mar 10 00:19:37 UTC 2026","passed","Tue Mar 10 00:19:38 UTC 2026","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canNotUpdatePaintingWithUnknownArtistTest"
"","11455","Check errors visible on add new artist form if fields have greater than max characters length Case: [max + 10]","","Tue Mar 10 00:20:54 UTC 2026","passed","Tue Mar 10 00:21:05 UTC 2026","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayErrorsOnAddAristFormIfArtistFieldsHaveGreaterThanMaxLengthTest"
